"statepuma","stab","pumaname","dem12","rep12","dem16","rep16","propR12","propR16","changeinR","changeinpropR"
"5311614","WA","King County (Southwest)--Auburn City & Lakeland",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311615","WA","King County (Southeast)--Maple Valley, Covington & Enumclaw Cities",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311616","WA","King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311701","WA","Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities",188516,133016,185227,128255,0.413694437878656,0.409130348791956,-4761,-0.00456408908669981
"5311702","WA","Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities",188516,133016,185227,128255,0.413694437878656,0.409130348791956,-4761,-0.00456408908669981
"5311703","WA","Snohomish County (Central)--Everett City (Central & East) & Eastmont",188516,133016,185227,128255,0.413694437878656,0.409130348791956,-4761,-0.00456408908669981
"5311704","WA","Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs",188516,133016,185227,128255,0.413694437878656,0.409130348791956,-4761,-0.00456408908669981
"5311705","WA","Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities",188516,133016,185227,128255,0.413694437878656,0.409130348791956,-4761,-0.00456408908669981
"5311706","WA","Snohomish County (North)--Marysville & Arlington Cities",188516,133016,185227,128255,0.413694437878656,0.409130348791956,-4761,-0.00456408908669981
"5311801","WA","Kitsap County (North)--Bainbridge Island City & Silverdale",67277,52846,63156,49018,0.439932402620647,0.43698183179703,-3828,-0.00295057082361755
"5311802","WA","Kitsap County (South)--Bremerton & Port Orchard Cities",67277,52846,63156,49018,0.439932402620647,0.43698183179703,-3828,-0.00295057082361755
"5500101","WI","Madison City (Central)",216071,83644,217526,71279,0.279078457868308,0.246806668859611,-12365,-0.032271789008697
"5500102","WI","Dane County (East)",216071,83644,217526,71279,0.279078457868308,0.246806668859611,-12365,-0.032271789008697
"5500103","WI","Dane County (West)",216071,83644,217526,71279,0.279078457868308,0.246806668859611,-12365,-0.032271789008697
"5500200","WI","Green Bay City",62526,64836,53364,67199,0.509068638997503,0.557376641258097,2363,0.0483080022605942
"5500300","WI","Outer Green Bay City",62526,64836,53364,67199,0.509068638997503,0.557376641258097,2363,0.0483080022605942
"5500900","WI","La Crosse County",36693,25751,32406,26389,0.412385497405675,0.448830682881197,638,0.0364451854755219
"5501500","WI","Outagamie County",45659,47372,38087,49884,0.509206608549838,0.567050505280149,2512,0.0578438967303109
"5501501","WI","Winnebago County",45449,42122,37054,43448,0.481003985337612,0.539713299048471,1326,0.0587093137108591
"5501600","WI","Marathon County",32363,36617,26477,39013,0.530835024644825,0.595709268590625,2396,0.0648742439458
